Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;SP;Ibiúna;M;entre 21 a 30 anos;2014;12;08/12/2014;18/12/2014;06/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Microcomputador e laptops;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada avaliada;Resolvida;5
S ;SC;Araranguá;M;entre 41 a 50 anos;2014;12;08/12/2014;18/12/2014;08/01/2015;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança após cancelamento do serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;F;entre 41 a 50 anos;2014;12;08/12/2014;12/12/2014;02/01/2015;4;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 21 a 30 anos;2014;12;06/12/2014;16/12/2014;05/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Barreiras;F;entre 31 a 40 anos;2014;12;15/12/2014;22/12/2014;12/01/2015;7;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;N;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 41 a 50 anos;2014;12;31/12/2014;09/01/2015;30/01/2015;9;Casas Bahia;Varejo;Demais Produtos;Móveis e Colchões;Entrega do Produto;Demora na montagem / montagem incorreta / incompleta;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 41 a 50 anos;2014;12;31/12/2014;07/01/2015;07/01/2015;7;Casasbahia.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;3
S ;SC;Praia Grande;F;entre 31 a 40 anos;2014;12;17/12/2014;23/12/2014;13/01/2015;6;Ricardo Eletro.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Microcomputador e laptops;Entrega do Produto;Não entrega / demora na entrega do produto;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Pelotas;M;entre 21 a 30 anos;2014;12;18/12/2014;27/12/2014;04/01/2015;9;Walmart.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;3
N ;RO;Porto Velho;M;entre 21 a 30 anos;2014;12;15/12/2014;24/12/2014;09/01/2015;9;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Demais aparelhos de comunicação;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
SE;ES;Pinheiros;M;entre 31 a 40 anos;2014;12;31/12/2014;09/01/2015;09/01/2015;9;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Domicílio;S;S;Finalizada avaliada;Não Resolvida;1
NE;CE;Fortaleza;M;entre 51 a 60 anos;2014;12;09/12/2014;15/12/2014;05/01/2015;6;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 31 a 40 anos;2014;12;18/12/2014;24/12/2014;12/01/2015;6;Bradesco Financiamentos;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Não Resolvida;3
CO;DF;Brasília;F;entre 31 a 40 anos;2014;12;02/12/2014;12/12/2014;02/01/2015;10;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;F;entre 31 a 40 anos;2014;12;09/12/2014;16/12/2014;06/01/2015;7;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 21 a 30 anos;2014;12;09/12/2014;19/12/2014;07/01/2015;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança após cancelamento do serviço;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
S ;SC;Blumenau;F;entre 31 a 40 anos;2014;12;09/12/2014;16/12/2014;06/01/2015;7;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança após cancelamento do serviço;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
N ;AC;Rio Branco;M;entre 31 a 40 anos;2014;12;09/12/2014;19/12/2014;09/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;N;S;Finalizada não avaliada;Não Avaliada;
N ;PA;Belém;M;entre 21 a 30 anos;2014;12;17/12/2014;19/12/2014;09/01/2015;2;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Itapecerica da Serra;M;entre 41 a 50 anos;2014;12;08/12/2014;18/12/2014;08/01/2015;10;Itauleasing;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;mais de 70 anos;2014;12;15/12/2014;22/12/2014;09/01/2015;7;Walmart.com;Comércio Eletrônico;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;M;entre 51 a 60 anos;2014;12;22/12/2014;30/12/2014;20/01/2015;8;Avianca - Oceanair;Transporte Aéreo;Transportes;Aéreo;Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Rio de Janeiro;M;mais de 70 anos;2014;12;26/12/2014;02/01/2015;23/01/2015;7;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 21 a 30 anos;2014;12;11/12/2014;18/12/2014;08/01/2015;7;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Catálogo;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 51 a 60 anos;2014;12;10/12/2014;18/12/2014;08/01/2015;8;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;F;entre 41 a 50 anos;2014;12;10/12/2014;19/12/2014;09/01/2015;9;Banco BMG;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Juiz de Fora;F;entre 21 a 30 anos;2014;12;10/12/2014;18/12/2014;08/01/2015;8;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de compra/saque não reconhecido / Contestação de cobrança;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Buri;M;entre 31 a 40 anos;2014;12;17/12/2014;24/12/2014;14/01/2015;7;Walmart.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;N;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Serra;M;entre 31 a 40 anos;2014;12;18/12/2014;26/12/2014;16/01/2015;8;Casasbahia.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Vacaria;M;entre 31 a 40 anos;2014;12;18/12/2014;26/12/2014;16/01/2015;8;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Negativação indevida;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
NE;SE;Aracaju;F;entre 21 a 30 anos;2014;12;15/12/2014;16/12/2014;06/01/2015;1;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Guarulhos;F;entre 41 a 50 anos;2014;12;15/12/2014;16/12/2014;06/01/2015;1;Brastemp;Fabricantes - Linha Branca;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Cruz das Almas;M;entre 41 a 50 anos;2014;12;26/12/2014;05/01/2015;26/01/2015;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Antônio Carlos;M;entre 21 a 30 anos;2014;12;26/12/2014;29/12/2014;19/01/2015;3;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;entre 31 a 40 anos;2014;12;17/12/2014;22/12/2014;12/01/2015;5;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Investimentos / Aplicações / Previdência Privada;Contrato / Oferta;Publicidade abusiva / ofensiva / discriminatória;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;F;entre 31 a 40 anos;2014;12;17/12/2014;26/12/2014;16/01/2015;9;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Vício de Qualidade;Bloqueio / Suspensão indevida do serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Bernardo do Campo;F;entre 41 a 50 anos;2014;12;17/12/2014;27/12/2014;17/01/2015;10;Centauro.com.br;Comércio Eletrônico;Demais Produtos;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 21 a 30 anos;2014;12;16/12/2014;20/12/2014;09/01/2015;4;Submarino;Comércio Eletrônico;Produtos de Telefonia e Informática;Microcomputador e laptops;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;F;entre 51 a 60 anos;2014;12;16/12/2014;17/12/2014;07/01/2015;1;Ricardo Eletro;Varejo;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Contrato / Oferta;Venda casada (garantia estendida, seguro, cursos etc);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Porto Alegre;M;entre 31 a 40 anos;2014;12;23/12/2014;26/12/2014;16/01/2015;3;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Pato Branco;M;entre 21 a 30 anos;2014;12;23/12/2014;02/01/2015;19/01/2015;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada avaliada;Resolvida;3
CO;GO;Goiânia;F;entre 31 a 40 anos;2014;12;16/12/2014;23/12/2014;13/01/2015;7;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Gravataí;F;entre 21 a 30 anos;2014;12;16/12/2014;20/12/2014;07/01/2015;4;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Telefone;S;S;Finalizada avaliada;Resolvida;2
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;16/12/2014;22/12/2014;12/01/2015;6;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Atendimento / SAC;SAC - Dificuldade em obter protocolo, gravação ou histórico;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;entre 31 a 40 anos;2014;12;16/12/2014;22/12/2014;09/01/2015;6;Brasilprev Seguros e Previdência;Corretoras e Sociedades de Seguros, Capitalização e Previdência;Serviços Financeiros;Investimentos / Aplicações / Previdência Privada;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada avaliada;Não Resolvida;5
CO;DF;Brasília;F;entre 31 a 40 anos;2014;12;03/12/2014;26/12/2014;16/01/2015;9;Banco BMG;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Margem consignável - bloqueio/ contestação;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Canoas;F;entre 21 a 30 anos;2014;12;11/12/2014;12/12/2014;02/01/2015;1;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Atendimento / SAC;SAC - Descortesia / despreparo / demora;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Campo Bom;F;entre 41 a 50 anos;2014;12;17/12/2014;26/12/2014;03/01/2015;9;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;3
SE;SP;São Sebastião;M;entre 31 a 40 anos;2014;12;17/12/2014;26/12/2014;03/01/2015;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;S;S;Finalizada avaliada;Resolvida;2
NE;CE;Juazeiro do Norte;M;entre 41 a 50 anos;2014;12;16/12/2014;18/12/2014;05/01/2015;2;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Internet;N;S;Finalizada avaliada;Resolvida;5
CO;GO;Aparecida de Goiânia;M;entre 21 a 30 anos;2014;12;23/12/2014;30/12/2014;20/01/2015;7;Centauro.com.br;Comércio Eletrônico;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada não avaliada;Não Avaliada;
CO;GO;Goiânia;F;entre 21 a 30 anos;2014;12;16/12/2014;24/12/2014;14/01/2015;8;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Serviços Financeiros;Demais Seguros (exceto habitacional);Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Guarulhos;M;entre 61 a 70 anos;2014;12;16/12/2014;26/12/2014;16/01/2015;10;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Portabilidade não efetivada;Telefone;N;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;03/12/2014;11/12/2014;01/01/2015;8;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Piraquara;M;entre 31 a 40 anos;2014;12;03/12/2014;12/12/2014;02/01/2015;9;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Serviços na internet (provedor, hospedagem, antivírus, vídeos online, aplicativos, jogos);Informação;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 21 a 30 anos;2014;12;11/12/2014;18/12/2014;08/01/2015;7;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Tremembé;F;entre 21 a 30 anos;2014;12;18/12/2014;27/12/2014;05/01/2015;9;Walmart.com;Comércio Eletrônico;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.);Entrega do Produto;Demora na montagem / montagem incorreta / incompleta;Internet;S;S;Finalizada avaliada;Resolvida;2
NE;BA;Itabuna;F;entre 31 a 40 anos;2014;12;16/12/2014;17/12/2014;07/01/2015;1;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Pelotas;M;entre 21 a 30 anos;2014;12;23/12/2014;30/12/2014;05/01/2015;7;Lojas Colombo;Varejo;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Itaquaquecetuba;M;entre 21 a 30 anos;2014;12;23/12/2014;30/12/2014;02/01/2015;7;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Telefone;N;S;Finalizada avaliada;Resolvida;5
CO;DF;Brasília;M;entre 31 a 40 anos;2014;12;09/12/2014;15/12/2014;05/01/2015;6;Walmart.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Informação;Informações incompletas / inadequadas sobre o produto (na oferta ou no manual);Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Taboão da Serra;F;entre 61 a 70 anos;2014;12;16/12/2014;23/12/2014;13/01/2015;7;Banco Votorantim ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Portabilidade não efetivada;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 41 a 50 anos;2014;12;04/12/2014;12/12/2014;02/01/2015;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 41 a 50 anos;2014;12;04/12/2014;13/12/2014;03/01/2015;9;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;F;entre 41 a 50 anos;2014;12;12/12/2014;22/12/2014;08/01/2015;10;Caixa Seguros;Corretoras e Sociedades de Seguros, Capitalização e Previdência;Serviços Financeiros;Seguro de Vida / Acidentes Pessoais / Desemprego;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;4
SE;RJ;São João de Meriti;F;entre 21 a 30 anos;2014;12;12/12/2014;20/12/2014;10/01/2015;8;Extra.com;Comércio Eletrônico;Demais Produtos;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.);Informação;Informações incompletas / inadequadas sobre o produto (na oferta ou no manual);Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 31 a 40 anos;2014;12;18/12/2014;26/12/2014;01/01/2015;8;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada avaliada;Resolvida;3
S ;PR;Curitiba;M;entre 41 a 50 anos;2014;12;19/12/2014;23/12/2014;13/01/2015;4;Extra.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 31 a 40 anos;2014;12;10/12/2014;20/12/2014;07/01/2015;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Informação;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
S ;RS;Porto Alegre;M;entre 31 a 40 anos;2014;12;16/12/2014;26/12/2014;16/01/2015;10;Carrefour;Supermercados;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Vício de Qualidade;Falta de peça de reposição;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;RN;Natal;M;entre 21 a 30 anos;2014;12;16/12/2014;23/12/2014;13/01/2015;7;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Cajamar;F;entre 21 a 30 anos;2014;12;16/12/2014;18/12/2014;06/01/2015;2;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Demais Empréstimos e Financiamentos (exceto imóveis e veículos);Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Loja física;S;S;Finalizada avaliada;Resolvida;3
NE;CE;Fortaleza;M;entre 41 a 50 anos;2014;12;23/12/2014;02/01/2015;05/01/2015;10;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Stand, feiras e eventos;S;S;Finalizada avaliada;Resolvida;2
S ;SC;Blumenau;M;entre 21 a 30 anos;2014;12;18/12/2014;26/12/2014;13/01/2015;8;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Telefone;S;S;Finalizada avaliada;Resolvida;5
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;05/12/2014;15/12/2014;05/01/2015;10;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc);Cobrança / Contestação;Negativação indevida - desconhece motivo e/ou fornecedor;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
